"9957","965","396","297"
"9963","965","100","333"
"9967","573","209","97"
"9974","458","568","97"
"9984","4","361_86","97"
"9986","448","86","97"
"9991","4","546_528","97"
"9993","562","528","97"
"9998","4","354_351","97"
"10000","470","351","97"
"10004","965","391","224"
"10008","618","638","97"
"10015","595","13","97"
"10022","518","143","97"
"10034","486","564","97"
"10039","4","378_111","97"
"10041","425","111","97"
"10048","607","438","97"
"10060","628","508","97"
"10087","415","453","97"
"10097","4","1_568","97"
"10114","497","35","97"
"10129","4","268_209","97"
"10134","4","109_453","97"
"10144","4","462_35","97"
"10156","584","133","97"
"10163","550","420","97"
"10178","4","30_508","97"
"10203","4","135_564","97"
"10208","4","171_143","97"
"10243","4","571_133","97"
"10248","4","213_420","97"
"10255","437","432","97"
"10270","4","278_13","97"
"10325","4","602_438","97"
"10340","4","295_638","97"
"10365","4","37_432","97"
"10400","4","553_53","97"
"10513","830","174","177"
"27337","224","33","211"
"27338","224","615","211"
"27343","261","527","211"
"27344","261","219","211"
"27347","4","120","211"
"27348","4","337","211"
"27352","794","587","379"
"27357","297","72","211"
"27358","297","322","211"
"27365","333","162","211"
"27366","333","539","211"
"27376","794","254","722"
"27382","794","147","373"
"27420","674","124","663"
"27421","640","46","663"
"27422","685","132","663"
"27434","902","649","224"
"27435","224","184","220"
"27437","902","20","261"
"27438","261","94","220"
"27440","902","5","4"
"27441","4","584","220"
"27443","902","261","333"
"27444","333","558","220"
"27446","902","600","297"
"27447","297","628","220"
"27539","97","636","112"
"28233","297","429","214"
"28234","297","60","214"
"28237","224","350","214"
"28238","224","300","214"
"28255","4","398","214"
"28256","4","6","214"
"28259","261","451","214"
"28260","261","345","214"
"28269","333","493","214"
"28270","333","459","214"
"29680","949","172","208"
"29787","949","561","217"
"29788","949","518","211"
"29811","674","404","89"
"29814","640","662","89"
"29817","685","487","89"
"29821","886","227","297"
"29854","886","500","333"
"29885","812","502","297"
"29919","812","506","224"
"29945","886","241","224"
"30001","886","661","4"
"30025","812","234","261"
"30029","812","380","4"
"30077","812","186","333"
"30197","886","562","261"
"37016","944","349","844"
"37017","844","457","830"
"37022","844","457_281","379"
"37065","709","437","698"
"37068","709","437_430","685"
"37069","698","430","685"
"37072","379","207_584","220"
"37075","709","437_430_517","379"
"37080","379","489_628","220"
"37086","379","149_184","220"
"37087","379","145_558","220"
"37102","379","481_94","220"
"37151","333","89_83","177"
"37207","297","548_83","177"
"41325","949","371","53"
"54278","722","630","717"
"54288","717","55","177"
"54292","379","218","717"
"54394","379","218_55","177"
"89787","224","385","208"
"89788","224","308","208"
"89791","333","476","208"
"89792","333","231","208"
"89799","261","470","208"
