"1","ProjectVersion","1.1","1"
"218","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","288"
"219","derived","derived","288"
"220","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","289"
"221","derived","derived","289"
"222","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","290"
"223","derived","derived","290"
"224","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","291"
"225","derived","derived","291"
"226","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","292"
"227","derived","derived","292"
"228","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","293"
"229","derived","derived","293"
"230","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","294"
"231","derived","derived","294"
"232","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","295"
"233","derived","derived","295"
"234","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_specimenCollection_storageContainer_edu.wustl.catissuecore.domain.StorageContainer","296"
"235","derived","derived","296"
"236","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_specimenCollection_specimenCollectionGroup_edu.wustl.catissuecore.domain.AbstractSpecimenCollectionGroup","298"
"237","derived","derived","298"
"238","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_specimenCollection_specimenCollectionGroup_edu.wustl.catissuecore.domain.AbstractSpecimenCollectionGroup","299"
"239","derived","derived","299"
"240","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_specimenCollection_specimenCollectionGroup_edu.wustl.catissuecore.domain.AbstractSpecimenCollectionGroup","300"
